Dat,Any,RelGuerra,Casos
1991.0,1991,No War Related,1
,1991,War Related,23
1992.0,1992,No War Related,3
,1992,War Related,49
1993.0,1993,No War Related,3
,1993,War Related,59
1994.0,1994,No War Related,5
,1994,War Related,40
1995.0,1995,No War Related,2
,1995,War Related,34
1996.0,1996,No War Related,4
,1996,War Related,27
1997.0,1997,No War Related,3
,1997,War Related,26
1998.0,1998,No War Related,5
,1998,War Related,12
1999.0,1999,No War Related,9
,1999,War Related,5
2000.0,2000,No War Related,7
,2000,War Related,5
2001.0,2001,No War Related,6
,2001,War Related,6
2002.0,2002,No War Related,1
,2002,War Related,5
2003.0,2003,No War Related,3
,2003,War Related,1
2004.0,2004,No War Related,3
,2004,War Related,2
2005.0,2005,War Related,1
2006.0,2006,No War Related,3
,2006,War Related,1
2007.0,2007,War Related,1
2008.0,2008,War Related,6
2009.0,2009,War Related,2
2010.0,2010,No War Related,1
,2010,War Related,5
2011.0,2011,No War Related,6
,2011,War Related,3
2012.0,2012,No War Related,2
,2012,War Related,1
2013.0,2013,No War Related,3
2014.0,2014,No War Related,5
,2014,War Related,1
2015.0,2015,No War Related,7
2016.0,2016,No War Related,4
,2016,War Related,2
2017.0,2017,War Related,2
2018.0,2018,No War Related,2
2019.0,2019,No War Related,2
,2019,War Related,1
