Contp,Status,RelGuerra,Count
Government,Multiparty signed/agreed,No War Related,1
Government,Multiparty signed/agreed,War Related,41
Government,Unilateral document,War Related,1
Government,Unilateral document,No War Related,0
Government,Agreement with subsequent status,No War Related,0
Government,Agreement with subsequent status,War Related,0
Government,Status unclear,No War Related,0
Government,Status unclear,War Related,0
Government/Territory,Agreement with subsequent status,No War Related,3
Government/Territory,Agreement with subsequent status,War Related,2
Government/Territory,Multiparty signed/agreed,No War Related,72
Government/Territory,Multiparty signed/agreed,War Related,239
Government/Territory,Status unclear,War Related,4
Government/Territory,Status unclear,No War Related,0
Government/Territory,Unilateral document,No War Related,12
Government/Territory,Unilateral document,War Related,29
Territory,Multiparty signed/agreed,No War Related,2
Territory,Multiparty signed/agreed,War Related,4
Territory,Unilateral document,War Related,0
Territory,Unilateral document,No War Related,0
Territory,Agreement with subsequent status,No War Related,0
Territory,Agreement with subsequent status,War Related,0
Territory,Status unclear,No War Related,0
Territory,Status unclear,War Related,0
